Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
Allegiant Air,1,17,136,0.125,Tier 3
Allegiant Air,2,111,408,0.27205882352941174,Tier 3
Allegiant Air,3,128,412,0.3106796116504854,Tier 3
Allegiant Air,4,133,315,0.4222222222222222,Tier 3
Allegiant Air,5,104,419,0.24821002386634844,Tier 3
Allegiant Air,6,89,412,0.21601941747572814,Tier 3
Allegiant Air,7,4,24,0.16666666666666666,Tier 3
Allegiant Air,8,5,86,0.05813953488372093,Tier 3
Allegiant Air,9,38,330,0.11515151515151516,Tier 3
Allegiant Air,10,53,319,0.16614420062695925,Tier 3
Allegiant Air,11,17,178,0.09550561797752809,Tier 3
Allegiant Air,12,73,330,0.22121212121212122,Tier 3
Allegiant Air,13,42,322,0.13043478260869565,Tier 3
Allegiant Air,14,0,20,0.0,Tier 3
Allegiant Air,15,6,86,0.06976744186046512,Tier 3
Allegiant Air,16,43,330,0.1303030303030303,Tier 3
Allegiant Air,17,51,311,0.1639871382636656,Tier 3
Allegiant Air,18,44,176,0.25,Tier 3
Allegiant Air,19,52,334,0.15568862275449102,Tier 3
Allegiant Air,20,51,323,0.15789473684210525,Tier 3
Allegiant Air,21,0,20,0.0,Tier 3
Allegiant Air,22,8,86,0.09302325581395349,Tier 3
Allegiant Air,23,52,330,0.15757575757575756,Tier 3
Allegiant Air,24,48,324,0.14814814814814814,Tier 3
Allegiant Air,25,15,194,0.07731958762886598,Tier 3
Allegiant Air,26,50,335,0.14925373134328357,Tier 3
Allegiant Air,27,25,324,0.07716049382716049,Tier 3
Allegiant Air,28,0,20,0.0,Tier 3
Allegiant Air,29,7,96,0.07291666666666667,Tier 3
Allegiant Air,30,41,332,0.12349397590361445,Tier 3
Allegiant Air,31,62,331,0.18731117824773413,Tier 3
ExpressJet,1,26,305,0.08524590163934426,Tier 3
ExpressJet,2,59,359,0.16434540389972144,Tier 3
ExpressJet,3,44,359,0.12256267409470752,Tier 3
ExpressJet,4,69,344,0.2005813953488372,Tier 3
ExpressJet,5,67,381,0.17585301837270342,Tier 3
ExpressJet,6,29,346,0.0838150289017341,Tier 3
ExpressJet,7,16,334,0.04790419161676647,Tier 3
ExpressJet,8,55,333,0.16516516516516516,Tier 3
ExpressJet,9,16,347,0.04610951008645533,Tier 3
ExpressJet,10,71,347,0.20461095100864554,Tier 3
ExpressJet,11,63,206,0.3058252427184466,Tier 3
ExpressJet,12,69,345,0.2,Tier 3
ExpressJet,13,49,339,0.14454277286135694,Tier 3
ExpressJet,14,58,345,0.1681159420289855,Tier 3
ExpressJet,15,19,342,0.05555555555555555,Tier 3
ExpressJet,16,74,350,0.21142857142857144,Tier 3
ExpressJet,17,43,315,0.1365079365079365,Tier 3
ExpressJet,18,42,211,0.1990521327014218,Tier 3
ExpressJet,19,56,323,0.17337461300309598,Tier 3
ExpressJet,20,46,359,0.12813370473537605,Tier 3
ExpressJet,21,28,350,0.08,Tier 3
ExpressJet,22,32,348,0.09195402298850575,Tier 3
ExpressJet,23,44,355,0.12394366197183099,Tier 3
ExpressJet,24,22,355,0.061971830985915494,Tier 3
ExpressJet,25,21,255,0.08235294117647059,Tier 3
ExpressJet,26,25,359,0.06963788300835655,Tier 3
ExpressJet,27,28,352,0.07954545454545454,Tier 3
ExpressJet,28,39,345,0.11304347826086956,Tier 3
ExpressJet,29,22,346,0.06358381502890173,Tier 3
ExpressJet,30,19,354,0.05367231638418079,Tier 3
ExpressJet,31,22,367,0.05994550408719346,Tier 3
Frontier Airlines,1,56,383,0.1462140992167102,Tier 3
Frontier Airlines,2,94,446,0.21076233183856502,Tier 3
Frontier Airlines,3,88,438,0.2009132420091324,Tier 3
Frontier Airlines,4,132,405,0.32592592592592595,Tier 3
Frontier Airlines,5,121,439,0.275626423690205,Tier 3
Frontier Airlines,6,86,433,0.19861431870669746,Tier 3
Frontier Airlines,7,53,409,0.1295843520782396,Tier 3
Frontier Airlines,8,78,361,0.21606648199445982,Tier 3
Frontier Airlines,9,34,430,0.07906976744186046,Tier 3
Frontier Airlines,10,65,412,0.15776699029126215,Tier 3
Frontier Airlines,11,73,362,0.20165745856353592,Tier 3
Frontier Airlines,12,87,412,0.2111650485436893,Tier 3
Frontier Airlines,13,70,415,0.1686746987951807,Tier 3
Frontier Airlines,14,26,362,0.0718232044198895,Tier 3
Frontier Airlines,15,34,349,0.09742120343839542,Tier 3
Frontier Airlines,16,91,421,0.2161520190023753,Tier 3
Frontier Airlines,17,81,389,0.20822622107969152,Tier 3
Frontier Airlines,18,72,357,0.20168067226890757,Tier 3
Frontier Airlines,19,26,421,0.06175771971496437,Tier 3
Frontier Airlines,20,49,407,0.12039312039312039,Tier 3
Frontier Airlines,21,31,352,0.08806818181818182,Tier 3
Frontier Airlines,22,34,349,0.09742120343839542,Tier 3
Frontier Airlines,23,42,422,0.0995260663507109,Tier 3
Frontier Airlines,24,59,406,0.14532019704433496,Tier 3
Frontier Airlines,25,51,367,0.13896457765667575,Tier 3
Frontier Airlines,26,48,422,0.11374407582938388,Tier 3
Frontier Airlines,27,31,407,0.07616707616707617,Tier 3
Frontier Airlines,28,50,351,0.14245014245014245,Tier 3
Frontier Airlines,29,23,349,0.0659025787965616,Tier 3
Frontier Airlines,30,44,422,0.10426540284360189,Tier 3
Frontier Airlines,31,53,414,0.1280193236714976,Tier 3
Hawaiian Airlines,1,10,230,0.043478260869565216,Tier 3
Hawaiian Airlines,2,26,238,0.1092436974789916,Tier 3
Hawaiian Airlines,3,19,244,0.0778688524590164,Tier 3
Hawaiian Airlines,4,21,228,0.09210526315789473,Tier 3
Hawaiian Airlines,5,19,242,0.07851239669421488,Tier 3
Hawaiian Airlines,6,9,233,0.03862660944206009,Tier 3
Hawaiian Airlines,7,22,232,0.09482758620689655,Tier 3
Hawaiian Airlines,8,41,221,0.18552036199095023,Tier 3
Hawaiian Airlines,9,30,222,0.13513513513513514,Tier 3
Hawaiian Airlines,10,26,232,0.11206896551724138,Tier 3
Hawaiian Airlines,11,28,215,0.13023255813953488,Tier 3
Hawaiian Airlines,12,21,226,0.09292035398230089,Tier 3
Hawaiian Airlines,13,17,224,0.07589285714285714,Tier 3
Hawaiian Airlines,14,7,223,0.03139013452914798,Tier 3
Hawaiian Airlines,15,22,221,0.09954751131221719,Tier 3
Hawaiian Airlines,16,29,224,0.12946428571428573,Tier 3
Hawaiian Airlines,17,27,232,0.11637931034482758,Tier 3
Hawaiian Airlines,18,34,213,0.1596244131455399,Tier 3
Hawaiian Airlines,19,10,227,0.04405286343612335,Tier 3
Hawaiian Airlines,20,8,224,0.03571428571428571,Tier 3
Hawaiian Airlines,21,14,224,0.0625,Tier 3
Hawaiian Airlines,22,11,221,0.049773755656108594,Tier 3
Hawaiian Airlines,23,11,224,0.049107142857142856,Tier 3
Hawaiian Airlines,24,16,231,0.06926406926406926,Tier 3
Hawaiian Airlines,25,16,215,0.07441860465116279,Tier 3
Hawaiian Airlines,26,9,227,0.039647577092511016,Tier 3
