Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
Alaska Airlines,1,178,727,0.24484181568088034,None
Alaska Airlines,2,137,749,0.1829105473965287,None
Alaska Airlines,3,153,744,0.2056451612903226,None
Alaska Airlines,4,189,712,0.2654494382022472,None
Alaska Airlines,5,186,731,0.25444596443228457,None
Alaska Airlines,6,205,748,0.27406417112299464,None
Alaska Airlines,7,118,649,0.18181818181818182,None
Alaska Airlines,8,90,650,0.13846153846153847,None
Alaska Airlines,9,132,701,0.18830242510699002,None
Alaska Airlines,10,180,706,0.254957507082153,None
Alaska Airlines,11,88,560,0.15714285714285714,None
Alaska Airlines,12,172,666,0.25825825825825827,None
Alaska Airlines,13,187,661,0.28290468986384265,None
Alaska Airlines,14,95,606,0.15676567656765678,None
Alaska Airlines,15,80,643,0.12441679626749612,None
Alaska Airlines,16,161,680,0.23676470588235293,None
Alaska Airlines,17,133,690,0.1927536231884058,None
Alaska Airlines,18,78,557,0.1400359066427289,None
Alaska Airlines,19,70,676,0.10355029585798817,None
Alaska Airlines,20,73,683,0.10688140556368961,None
Alaska Airlines,21,64,632,0.10126582278481013,None
Alaska Airlines,22,73,645,0.11317829457364341,None
Alaska Airlines,23,90,697,0.1291248206599713,None
Alaska Airlines,24,121,698,0.17335243553008595,None
Alaska Airlines,25,84,559,0.15026833631484796,None
Alaska Airlines,26,132,676,0.1952662721893491,None
Alaska Airlines,27,102,685,0.14890510948905109,None
Alaska Airlines,28,75,635,0.11811023622047244,None
Alaska Airlines,29,71,647,0.10973724884080371,None
Alaska Airlines,30,113,679,0.16642120765832105,None
Alaska Airlines,31,203,691,0.2937771345875543,None
Allegiant Air,1,17,136,0.125,Tier 3
Allegiant Air,2,111,408,0.27205882352941174,Tier 3
Allegiant Air,3,128,412,0.3106796116504854,Tier 3
Allegiant Air,4,133,315,0.4222222222222222,Tier 3
Allegiant Air,5,104,419,0.24821002386634844,Tier 3
Allegiant Air,6,89,412,0.21601941747572814,Tier 3
Allegiant Air,7,4,24,0.16666666666666666,Tier 3
Allegiant Air,8,5,86,0.05813953488372093,Tier 3
Allegiant Air,9,38,330,0.11515151515151516,Tier 3
Allegiant Air,10,53,319,0.16614420062695925,Tier 3
Allegiant Air,11,17,178,0.09550561797752809,Tier 3
Allegiant Air,12,73,330,0.22121212121212122,Tier 3
Allegiant Air,13,42,322,0.13043478260869565,Tier 3
Allegiant Air,14,0,20,0.0,Tier 3
Allegiant Air,15,6,86,0.06976744186046512,Tier 3
Allegiant Air,16,43,330,0.1303030303030303,Tier 3
Allegiant Air,17,51,311,0.1639871382636656,Tier 3
Allegiant Air,18,44,176,0.25,Tier 3
Allegiant Air,19,52,334,0.15568862275449102,Tier 3
Allegiant Air,20,51,323,0.15789473684210525,Tier 3
Allegiant Air,21,0,20,0.0,Tier 3
Allegiant Air,22,8,86,0.09302325581395349,Tier 3
Allegiant Air,23,52,330,0.15757575757575756,Tier 3
Allegiant Air,24,48,324,0.14814814814814814,Tier 3
Allegiant Air,25,15,194,0.07731958762886598,Tier 3
Allegiant Air,26,50,335,0.14925373134328357,Tier 3
Allegiant Air,27,25,324,0.07716049382716049,Tier 3
Allegiant Air,28,0,20,0.0,Tier 3
Allegiant Air,29,7,96,0.07291666666666667,Tier 3
Allegiant Air,30,41,332,0.12349397590361445,Tier 3
Allegiant Air,31,62,331,0.18731117824773413,Tier 3
American Airlines,1,368,2436,0.1510673234811166,Tier 1
American Airlines,2,327,2671,0.1224260576563085,Tier 1
American Airlines,3,438,2687,0.16300707108299217,Tier 1
American Airlines,4,570,2492,0.22873194221508827,Tier 1
American Airlines,5,372,2641,0.1408557364634608,Tier 1
American Airlines,6,283,2640,0.1071969696969697,Tier 1
American Airlines,7,148,2181,0.06785878037597433,Tier 1
American Airlines,8,252,2380,0.10588235294117647,Tier 1
American Airlines,9,243,2615,0.09292543021032505,Tier 1
American Airlines,10,483,2415,0.2,Tier 1
American Airlines,11,586,1866,0.3140407288317256,Tier 1
American Airlines,12,475,2484,0.19122383252818034,Tier 1
American Airlines,13,354,2554,0.13860610806577917,Tier 1
American Airlines,14,196,2205,0.08888888888888889,Tier 1
American Airlines,15,195,2390,0.08158995815899582,Tier 1
American Airlines,16,751,2611,0.2876292608196093,Tier 1
American Airlines,17,499,2515,0.19840954274353878,Tier 1
American Airlines,18,356,1963,0.18135506877228733,Tier 1
American Airlines,19,290,2367,0.12251795521757498,Tier 1
American Airlines,20,315,2533,0.12435846821950257,Tier 1
American Airlines,21,241,2212,0.1089511754068716,Tier 1
American Airlines,22,258,2392,0.10785953177257525,Tier 1
American Airlines,23,409,2626,0.15575019040365576,Tier 1
American Airlines,24,352,2635,0.1335863377609108,Tier 1
American Airlines,25,222,2039,0.10887690044139284,Tier 1
American Airlines,26,275,2520,0.10912698412698413,Tier 1
