Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
Alaska Airlines,1,178,727,0.24484181568088034,Tier 2
Alaska Airlines,2,137,749,0.1829105473965287,Tier 2
Alaska Airlines,3,153,744,0.2056451612903226,Tier 2
Alaska Airlines,4,189,712,0.2654494382022472,Tier 2
Alaska Airlines,5,186,731,0.25444596443228457,Tier 2
Alaska Airlines,6,205,748,0.27406417112299464,Tier 2
Alaska Airlines,7,118,649,0.18181818181818182,Tier 2
Alaska Airlines,8,90,650,0.13846153846153847,Tier 2
Alaska Airlines,9,132,701,0.18830242510699002,Tier 2
Alaska Airlines,10,180,706,0.254957507082153,Tier 2
Alaska Airlines,11,88,560,0.15714285714285714,Tier 2
Alaska Airlines,12,172,666,0.25825825825825827,Tier 2
Alaska Airlines,13,187,661,0.28290468986384265,Tier 2
Alaska Airlines,14,95,606,0.15676567656765678,Tier 2
Alaska Airlines,15,80,643,0.12441679626749612,Tier 2
Alaska Airlines,16,161,680,0.23676470588235293,Tier 2
Alaska Airlines,17,133,690,0.1927536231884058,Tier 2
Alaska Airlines,18,78,557,0.1400359066427289,Tier 2
Alaska Airlines,19,70,676,0.10355029585798817,Tier 2
Alaska Airlines,20,73,683,0.10688140556368961,Tier 2
Alaska Airlines,21,64,632,0.10126582278481013,Tier 2
Alaska Airlines,22,73,645,0.11317829457364341,Tier 2
Alaska Airlines,23,90,697,0.1291248206599713,Tier 2
Alaska Airlines,24,121,698,0.17335243553008595,Tier 2
Alaska Airlines,25,84,559,0.15026833631484796,Tier 2
Alaska Airlines,26,132,676,0.1952662721893491,Tier 2
Alaska Airlines,27,102,685,0.14890510948905109,Tier 2
Alaska Airlines,28,75,635,0.11811023622047244,Tier 2
Alaska Airlines,29,71,647,0.10973724884080371,Tier 2
Alaska Airlines,30,113,679,0.16642120765832105,Tier 2
Alaska Airlines,31,203,691,0.2937771345875543,Tier 2
Endeavor Air,1,22,457,0.04814004376367615,Tier 2
Endeavor Air,2,56,734,0.07629427792915532,Tier 2
Endeavor Air,3,143,723,0.19778699861687413,Tier 2
Endeavor Air,4,63,588,0.10714285714285714,Tier 2
Endeavor Air,5,88,761,0.11563731931668857,Tier 2
Endeavor Air,6,108,834,0.12949640287769784,Tier 2
Endeavor Air,7,55,831,0.06618531889290012,Tier 2
Endeavor Air,8,130,839,0.15494636471990464,Tier 2
Endeavor Air,9,41,840,0.04880952380952381,Tier 2
Endeavor Air,10,81,833,0.09723889555822329,Tier 2
Endeavor Air,11,73,442,0.16515837104072398,Tier 2
Endeavor Air,12,127,708,0.17937853107344634,Tier 2
Endeavor Air,13,140,832,0.16826923076923078,Tier 2
