DAY_OF_MONTH,perctentage_of_flights_cancelled,perctentage_of_flights_dealyed_on_departure,perctentage_of_flights_dealyed_on_arrival
1,0.6679916087004527,14.077509108976482,13.221817378823008
2,0.43178730836405976,14.719580826702892,14.185911119736074
3,0.446255335661622,19.644935972060534,19.698292588280946
4,0.3315100281783524,23.9902757058401,25.404718492734407
5,0.3780535091120589,18.0011632415665,16.261147731678946
6,0.2482929857231533,13.140428782886884,12.868261471613426
7,0.4017950323523273,9.309121269046127,8.959507409726571
8,0.42704626334519574,12.287747839349263,12.399593289273005
9,0.2116503920342489,8.4034826109962,8.187021982779354
10,3.8106679481018744,17.554060547813553,19.884670831331093
11,7.497037360444084,28.185617164598014,31.38526788498721
12,1.0504096094888675,18.404784640900637,18.309292858219834
13,0.8305405799213171,16.55252804895818,17.650201563941913
14,1.0701607851325956,12.90979327625809,13.400501148465233
15,0.2999644110020845,9.248055315471046,9.166709034521329
16,1.0355457085059243,23.39851652056642,24.515942587419325
17,7.143544352511063,24.494900904367906,24.74023475081778
18,3.1809919501428205,23.02648662685017,25.66865749156063
19,0.46496180670873466,12.791984944093878,12.01704859957932
20,0.24693796918214148,12.124654286843144,11.438166732516791
21,0.6103604778548698,10.741301059001513,10.104856800041734
22,0.3914391744191958,9.292867673224544,9.384372934777083
23,0.6118712661399114,13.085372904220465,14.068221237232608
24,1.5056039251527251,13.82461878878253,13.901582567704073
25,0.3941441441441441,11.555305305305305,11.536536536536536
26,0.15569283310732762,10.150168248706745,9.567575711918035
27,1.436265709156194,15.061380950070358,14.619826289485177
28,0.3341164186896372,8.838423388149309,9.642391020621249
29,0.20330368487928843,6.592121982210927,7.278271918678526
30,0.28905911258852435,10.092980681215975,10.608469431998843
31,0.3844490364746023,13.7536642798789,15.137680811187467
