DAY_OF_WEEK,perctentage_of_flights_cancelled,perctentage_of_flights_dealyed_on_departure,perctentage_of_flights_dealyed_on_arrival
Monday,0.6906261758244426,14.22398621175157,14.149947201689548
Tuesday,0.6040916444861959,10.449611189395124,10.52659047022598
Wednesday,0.3935991074287958,10.238742135765866,10.242874409859606
Thursday,0.5160307110613835,13.937651915583164,14.31189474902581
Friday,2.6615420182637846,17.850537510114435,18.670288598620584
Saturday,2.77014652014652,21.75671550671551,23.547008547008545
Sunday,0.512062772272183,14.91350979542965,14.105928209308843
